fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2026-03-31,USD,94056000000,181519000000,87463000000,87463000000,23852000000,2587000000,29567000000,70204000000,None,335000000,1135000000,800000000,None,None,None,18945000000,39834000000,9560000000,None,30255000000,None,23852000000,42797000000,30255000000
2025-12-31,USD,103427000000,213386000000,109959000000,109959000000,24977000000,2704000000,29399000000,78450000000,None,451000000,451000000,679000000,None,None,None,19471000000,26138000000,4946000000,None,21192000000,None,27284000000,46755000000,21192000000
2025-09-30,USD,91499000000,180169000000,88670000000,88670000000,17422000000,2875000000,28962000000,74077000000,None,562000000,1100000000,538000000,None,None,None,16796000000,28097000000,6910000000,None,21187000000,None,28708000000,45504000000,21187000000
2025-06-30,USD,86893000000,167702000000,80809000000,80809000000,19171000000,2965000000,27166000000,67722000000,None,569000000,569000000,516000000,None,None,None,15227000000,20842000000,2678000000,None,18164000000,None,21373000000,36600000000,18164000000
2025-03-31,USD,78691000000,155667000000,76976000000,76976000000,18405000000,2628000000,22994000000,60286000000,None,525000000,1066000000,541000000,None,None,None,14262000000,21680000000,4553000000,None,17127000000,None,22220000000,36482000000,17127000000
2024-12-31,USD,88899000000,187792000000,98893000000,98893000000,21203000000,2863000000,23571000000,67696000000,None,678000000,1248000000,570000000,None,None,None,15631000000,22329000000,2325000000,None,20004000000,None,22919000000,38550000000,20004000000
2024-09-30,USD,77900000000,158877000000,80977000000,80977000000,17411000000,2713000000,22245000000,60489000000,None,653000000,1256000000,603000000,None,None,None,13442000000,18034000000,2706000000,None,15328000000,None,18640000000,32082000000,15328000000
2024-06-30,USD,74192000000,147977000000,73785000000,73785000000,14769000000,3041000000,22304000000,59423000000,None,None,None,589000000,None,None,None,12038000000,15245000000,1767000000,None,None,None,14769000000,26807000000,13485000000
2024-03-31,USD,70680000000,143313000000,72633000000,72633000000,15307000000,2742000000,16960000000,55145000000,None,349000000,993000000,644000000,None,None,None,11684000000,12898000000,2467000000,None,10431000000,None,15307000000,26991000000,10431000000
2023-12-31,USD,77408000000,169961000000,92553000000,92553000000,13209000000,3010000000,22038000000,64045000000,None,188000000,901000000,713000000,None,None,None,13820000000,13686000000,3062000000,None,10624000000,None,13209000000,27029000000,10624000000
2023-09-30,USD,68061000000,143083000000,75022000000,75022000000,11188000000,2561000000,21203000000,56629000000,None,-30000000,1072000000,806000000,None,None,None,12131000000,12189000000,2306000000,None,9879000000,None,11188000000,23319000000,9879000000
2023-06-30,USD,65010000000,134383000000,69373000000,69373000000,7681000000,3202000000,18829000000,57183000000,None,-179000000,661000000,840000000,None,713000000,None,11589000000,7554000000,804000000,None,6759000000,None,7681000000,19270000000,6750000000
2023-03-31,USD,59567000000,127358000000,67791000000,67791000000,4774000000,3043000000,17420000000,54570000000,None,-212000000,611000000,823000000,None,169000000,None,11123000000,4120000000,948000000,None,3171000000,None,4774000000,15897000000,3172000000
2022-12-31,USD,63564000000,149204000000,85640000000,85640000000,2547000000,3333000000,3653000000,60258000000,None,-249000000,445000000,694000000,None,-2992000000,None,12685000000,-962000000,-1227000000,None,265000000,None,2547000000,15232000000,278000000
2022-09-30,USD,56833000000,127101000000,70268000000,70268000000,2525000000,3061000000,16787000000,54184180000,None,-340000000,277000000,617000000,None,1033000000,None,10204000000,2941000000,69000000,None,2875000000,None,2525000000,12729000000,2872000000
2022-06-30,USD,54810000000,121234000000,66424000000,66424000000,3317000000,2903000000,15468000000,51369526000,None,-425000000,159000000,584000000,None,-5398000000,None,9716000000,-2665000000,637000000,None,-2016000000,None,3317000000,13033000000,-2028000000
2022-03-31,USD,49945000000,116444000000,66499000000,66499000000,3669000000,2594000000,12270000000,46154654000,None,-364000000,108000000,472000000,None,-8463000000,None,9193000000,-5266000000,-1422000000,None,-3843000000,None,3669000000,12862000000,-3844000000
2021-12-31,USD,54577000000,137412000000,82835000000,82835000000,3460000000,2525000000,2001000000,50983048000,None,-364000000,118000000,482000000,None,11957000000,None,9802000000,14934000000,612000000,None,14322000000,None,3460000000,13262000000,14323000000
2021-09-30,USD,47882000000,110812000000,62930000000,62930000000,4852000000,2153000000,12097000000,42923873000,None,-374000000,119000000,493000000,None,-48000000,None,8948000000,4311000000,1155000000,None,3156000000,None,4852000000,13800000000,3156000000
2021-06-30,USD,48904000000,113080000000,64176000000,64176000000,7702000000,2158000000,11794000000,41097895000,None,-329000000,106000000,435000000,None,1379000000,None,8038000000,8646000000,868000000,None,7778000000,None,7702000000,15740000000,7778000000
2021-03-31,USD,46115000000,108518000000,62403000000,62403000000,8865000000,1987000000,10584000000,37152039000,None,-294000000,105000000,399000000,None,1797000000,None,7508000000,10263000000,2156000000,None,8107000000,None,8865000000,16373000000,8107000000
2020-12-31,USD,46271000000,125555000000,79284000000,79284000000,6873000000,1968000000,5242000000,39386131800,None,-314000000,100000000,414000000,None,1329000000,None,7618000000,7765000000,566000000,None,7199000000,None,6873000000,14491000000,7222000000
2020-09-30,USD,39039000000,96145000000,57106000000,57106000000,6194000000,1668000000,9334000000,32756065000,None,-310000000,118000000,428000000,None,1134000000,None,6523000000,6900000000,569000000,None,6240000000,None,6194000000,12717000000,6331000000
2020-06-30,USD,36252000000,88912000000,52660000000,52660000000,5843000000,1580000000,8945000000,30326583000,None,-268000000,135000000,403000000,None,787000000,None,5748000000,6227000000,984000000,None,5237000000,None,5843000000,11591000000,5243000000
2020-03-31,USD,31195000000,75452000000,44257000000,44257000000,3989000000,1452000000,7993000000,27134027000,None,-200000000,202000000,402000000,None,-308000000,None,5362000000,3279000000,744000000,None,2639000000,None,3989000000,9351000000,2535000000
2019-12-31,USD,21267000000,87436000000,66169000000,66169000000,3880000000,7583000000,9740000000,17322000000,None,-244000000,211000000,455000000,None,630000000,None,6170000000,4054000000,787000000,None,3267000000,None,3880000000,10050000000,3268000000
2019-09-30,USD,28679000000,69981000000,41302000000,41302000000,3020000000,1348000000,8022000000,66961000000,None,-172000000,224000000,396000000,None,-133000000,None,5563000000,2628000000,494000000,None,2138000000,None,3020000000,8583000000,2134000000
2019-06-30,USD,27067000000,63404000000,36337000000,36337000000,3084000000,1270000000,7910000000,60320000000,None,-168000000,215000000,383000000,None,181000000,None,5202000000,2882000000,257000000,None,2632000000,None,3084000000,8286000000,2625000000
2019-03-31,USD,25780000000,59700000000,33920000000,33920000000,4420000000,1173000000,6841000000,55280000000,None,-183000000,183000000,366000000,None,343000000,None,4854000000,4397000000,836000000,None,3565000000,None,4420000000,9274000000,3561000000
2018-12-31,USD,27597000000,72383000000,44786000000,44786000000,3786000000,1117000000,1452000000,68597000000,None,None,None,387000000,None,-46000000,None,4262000000,3350000000,327000000,None,3022000000,None,3786000000,8048000000,3027000000
2018-09-30,USD,23573000000,56576000000,33003000000,33003000000,3724000000,1041000000,6303000000,52852000000,None,None,None,358000000,None,25000000,None,3778000000,3391000000,508000000,None,2882000000,None,3724000000,7502000000,2883000000
2018-06-30,USD,22254000000,52886000000,30632000000,30632000000,2983000000,1111000000,6432000000,49903000000,None,None,None,343000000,None,-32000000,None,3630000000,2608000000,74000000,None,2531000000,None,2983000000,6613000000,2534000000
2018-03-31,USD,20307000000,51042000000,30735000000,30735000000,1927000000,1067000000,5968000000,49115000000,None,None,None,330000000,None,319000000,None,3671000000,1916000000,287000000,None,1629000000,None,1927000000,5598000000,1629000000
2017-12-31,USD,21959000000,60453000000,38494000000,38494000000,2127000000,1044000000,221000000,58326000000,None,None,None,339000000,None,83000000,None,3498000000,1872000000,16000000,None,1856000000,None,2127000000,5625000000,1856000000
2017-09-30,USD,16195000000,43744000000,27549000000,27549000000,347000000,960000000,128000000,43397000000,None,None,None,228000000,None,195000000,None,2784000000,314000000,58000000,None,258000000,None,347000000,3131000000,256000000
2017-06-30,USD,14504000000,37955000000,23451000000,23451000000,628000000,874000000,145000000,37327000000,None,None,None,143000000,None,179000000,None,2488000000,664000000,467000000,None,199000000,None,628000000,3116000000,197000000
2017-03-31,USD,13274000000,35714000000,22440000000,22440000000,1005000000,795000000,4402000000,34709000000,None,None,None,139000000,None,87000000,None,2285000000,953000000,229000000,None,724000000,None,1005000000,3290000000,724000000
2016-12-31,USD,-18922000000,43741000000,62663000000,62663000000,1255000000,717000000,999000000,42486000000,None,None,None,133000000,None,41000000,None,2297000000,1166000000,414000000,None,752000000,None,1255000000,3552000000,749000000
2016-09-30,USD,11454000000,32714000000,21260000000,21260000000,575000000,639000000,160000000,32139000000,None,None,None,118000000,None,24000000,None,1924000000,481000000,229000000,None,262000000,None,575000000,2499000000,252000000
2016-06-30,USD,11224000000,30404000000,19180000000,19180000000,1285000000,580000000,160000000,29119000000,None,None,None,116000000,None,-5000000,None,1749000000,1164000000,307000000,None,872000000,None,1285000000,3034000000,857000000
2016-03-31,USD,10262000000,29128000000,18866000000,18866000000,1071000000,497000000,161000000,28057000000,None,None,None,117000000,None,34000000,None,1666000000,988000000,475000000,None,581000000,None,1071000000,2737000000,513000000
2015-12-31,USD,11406000000,35747000000,24341000000,24341000000,1109000000,390000000,167000000,34638000000,None,None,None,115000000,None,-60000000,None,1585000000,934000000,452000000,None,486000000,None,1109000000,2694000000,482000000
