fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2026-03-31,USD,56058000000,82886000000,26828000000,26828000000,38398000000,1931000000,8915000000,17660000000,None,-48000000,730000000,778000000,None,None,None,10167000000,39340000000,7562000000,None,31778000000,None,40118000000,50285000000,31778000000
2025-12-31,USD,55295000000,81273000000,25978000000,25978000000,38275000000,1932000000,8504000000,17020000000,None,104000000,840000000,736000000,None,None,None,9198000000,48246000000,9788000000,None,38458000000,None,48982000000,58180000000,38458000000
2025-09-30,USD,53630000000,77673000000,24043000000,24043000000,37961000000,1806000000,8146000000,15669000000,None,278000000,976000000,698000000,None,None,None,13061000000,34301000000,6554000000,None,27747000000,None,34999000000,48060000000,27747000000
2025-06-30,USD,52427000000,76441000000,24014000000,24014000000,34323000000,1990000000,8829000000,18104000000,None,154000000,202000000,615000000,None,None,None,11203000000,32616000000,5383000000,None,27233000000,None,33231000000,44434000000,27233000000
2025-03-31,USD,48147000000,70066000000,21919000000,21919000000,32000000000,1737000000,8198000000,16147000000,None,3000000,597000000,594000000,None,None,None,8740000000,31377000000,5553000000,None,25824000000,None,31971000000,40711000000,25824000000
2024-12-31,USD,47833000000,69632000000,21799000000,21799000000,31653000000,1823000000,7917000000,16180000000,None,6000000,600000000,594000000,None,None,None,6827000000,29365000000,5257000000,None,24108000000,None,29959000000,36786000000,24108000000
2024-09-30,USD,45486000000,65585000000,20099000000,20099000000,30552000000,1673000000,7544000000,14934000000,None,99000000,681000000,582000000,None,None,None,7383000000,30269000000,5602000000,None,24667000000,None,30851000000,38234000000,24667000000
2024-06-30,USD,45043000000,64727000000,19684000000,19684000000,27925000000,2246000000,8056000000,17118000000,None,-63000000,638000000,701000000,None,None,None,6380000000,27250000000,5214000000,None,22036000000,None,27951000000,34331000000,22036000000
2024-03-31,USD,43353000000,61858000000,18505000000,18505000000,27581000000,1912000000,7653000000,15772000000,None,-181000000,619000000,800000000,None,None,None,6027000000,26727000000,4788000000,None,21939000000,None,27527000000,33554000000,21939000000
2023-12-31,USD,42397000000,62020000000,19623000000,19623000000,27032000000,1977000000,7142000000,15365000000,None,-175000000,734000000,909000000,None,None,None,5959000000,26526000000,4656000000,None,21870000000,None,27435000000,33394000000,21870000000
2023-09-30,USD,40215000000,56517000000,16302000000,16302000000,26895000000,1474000000,6659000000,13320000000,None,641000000,1166000000,525000000,None,None,None,3921000000,27284000000,4993000000,None,22291000000,None,27809000000,31730000000,22291000000
2023-06-30,USD,39394000000,56189000000,16795000000,16795000000,24254000000,2197000000,6739000000,15140000000,None,423000000,905000000,482000000,None,None,None,3874000000,24727000000,4646000000,None,20081000000,None,24254000000,28128000000,20081000000
2023-03-31,USD,36729000000,52857000000,16128000000,16128000000,22352000000,1643000000,6984000000,14377000000,None,252000000,748000000,496000000,None,321000000,None,3549000000,22673000000,4374000000,None,18299000000,None,23169000000,26718000000,18299000000
2022-12-31,USD,35259000000,52747000000,17488000000,17488000000,20399000000,2337000000,6844000000,14860000000,None,210000000,700000000,490000000,None,-60000000,None,3648000000,20339000000,3914000000,None,16425000000,None,20399000000,24047000000,16425000000
2022-09-30,USD,34670000000,50122000000,15452000000,15452000000,21518000000,1398000000,6628000000,13152000000,None,141000000,641000000,500000000,None,54000000,None,3400000000,21572000000,4016000000,None,17556000000,None,21518000000,24918000000,17556000000
2022-06-30,USD,35436000000,51865000000,16429000000,16429000000,20534000000,1749000000,6849000000,14902000000,None,56000000,552000000,496000000,None,-47000000,None,3979000000,20487000000,3747000000,None,16740000000,None,20983000000,24962000000,16740000000
2022-03-31,USD,33745000000,49360000000,15615000000,15615000000,20364000000,1480000000,6306000000,13381000000,None,16000000,519000000,503000000,None,-174000000,None,3773000000,20190000000,3462000000,None,16728000000,None,20693000000,24466000000,16728000000
2021-12-31,USD,34768000000,51728000000,16960000000,16960000000,22247000000,1384000000,5758000000,12521000000,None,-22000000,503000000,525000000,None,268000000,None,3496000000,22515000000,3750000000,None,18765000000,None,23040000000,26536000000,18765000000
2021-09-30,USD,31671000000,45317000000,13646000000,13646000000,20238000000,1287000000,5599000000,11433000000,None,-19000000,520000000,539000000,None,286000000,None,3212000000,20524000000,19000000,None,20505000000,None,21063000000,24275000000,20505000000
2021-06-30,USD,32161000000,46152000000,13991000000,13991000000,19095000000,1522000000,5687000000,13066000000,None,-56000000,497000000,553000000,None,310000000,None,3344000000,19405000000,2947000000,None,16458000000,None,19958000000,23302000000,16458000000
2021-03-31,USD,28661000000,41706000000,13045000000,13045000000,17048000000,1327000000,5204000000,11613000000,None,-114000000,519000000,633000000,None,188000000,None,2936000000,17236000000,1779000000,None,15457000000,None,17869000000,20805000000,15457000000
2020-12-31,USD,28882000000,43076000000,14194000000,14194000000,17897000000,1139000000,4899000000,10985000000,None,-26000000,545000000,571000000,None,440000000,None,2761000000,18337000000,2874000000,None,15463000000,None,18908000000,21669000000,15463000000
2020-09-30,USD,26152000000,37154000000,11002000000,11002000000,15876000000,1119000000,4926000000,10276000000,None,-589000000,None,589000000,None,248000000,None,2645000000,16124000000,2231000000,None,13893000000,None,16713000000,19358000000,13893000000
2020-06-30,USD,25694000000,38033000000,12339000000,12339000000,13407000000,1656000000,5214000000,12287000000,None,-686000000,None,686000000,None,15000000,None,3504000000,13422000000,2220000000,None,11202000000,None,14108000000,17612000000,11202000000
2020-03-31,USD,24046000000,35021000000,10975000000,10975000000,12975000000,1273000000,4887000000,11071000000,None,-614000000,153000000,614000000,None,-132000000,None,3118000000,12843000000,2091000000,None,10752000000,None,13457000000,16575000000,10752000000
2019-12-31,USD,24548000000,36906000000,12358000000,12358000000,13891000000,1121000000,4603000000,10657000000,None,-654000000,281000000,654000000,None,194000000,None,3203000000,14085000000,2436000000,None,11649000000,None,14739000000,17942000000,11649000000
2019-09-30,USD,22649000000,33055000000,10406000000,10406000000,12686000000,1061000000,4565000000,9963000000,None,-637000000,139000000,637000000,None,None,None,2971000000,12686000000,2008000000,None,10678000000,None,13323000000,16294000000,10678000000
2019-06-30,USD,23305000000,33717000000,10412000000,10412000000,12405000000,1425000000,4513000000,10900000000,None,-669000000,321000000,669000000,None,191000000,None,2924000000,12596000000,-591000000,None,13187000000,None,13265000000,16189000000,13187000000
2019-03-31,USD,20401000000,30571000000,10170000000,10170000000,10341000000,1179000000,4316000000,10060000000,None,-671000000,None,671000000,None,145000000,None,2926000000,10486000000,1677000000,None,8809000000,None,11157000000,14083000000,8809000000
2018-12-31,USD,20048000000,32471000000,12423000000,12423000000,10258000000,1132000000,4070000000,9790000000,None,None,None,672000000,None,127000000,None,2995000000,10385000000,1965000000,None,8420000000,None,11057000000,14052000000,8420000000
2018-09-30,USD,19179000000,29084000000,9905000000,9905000000,9955000000,1149000000,3977000000,9224000000,None,None,None,674000000,None,266000000,None,2837000000,10221000000,1397000000,None,8824000000,None,10895000000,13732000000,8824000000
2018-06-30,USD,20343000000,30085000000,9742000000,9742000000,10379000000,1271000000,3933000000,9964000000,None,None,None,672000000,None,301000000,None,2516000000,10680000000,1807000000,None,8873000000,None,11352000000,13868000000,8873000000
2018-03-31,USD,17550000000,26819000000,9269000000,9269000000,8292000000,1208000000,3715000000,9258000000,None,None,None,691000000,None,349000000,None,2710000000,8641000000,1217000000,None,7424000000,None,9332000000,12042000000,7424000000
2017-12-31,USD,17854000000,28918000000,11064000000,11064000000,8679000000,1109000000,3504000000,9175000000,None,None,None,698000000,None,490000000,None,2536000000,9169000000,15471000000,None,-6302000000,None,9867000000,12403000000,-6302000000
2017-09-30,USD,16260000000,24538000000,8278000000,8278000000,7708000000,1166000000,3574000000,8552000000,None,None,None,672000000,None,276000000,None,2499000000,7984000000,1408000000,None,6576000000,None,8656000000,11155000000,6576000000
2017-06-30,USD,17149000000,25605000000,8456000000,8456000000,7682000000,1355000000,3514000000,9161000000,None,None,None,655000000,None,215000000,None,2343000000,7958000000,-111000000,None,6513000000,None,8613000000,10956000000,8069000000
2017-03-31,USD,15152000000,23212000000,8060000000,8060000000,6723000000,1202000000,3355000000,8429000000,None,None,None,609000000,None,322000000,None,2453000000,7094000000,1608000000,None,4801000000,None,7703000000,10156000000,5486000000
2016-12-31,USD,15925000000,25826000000,9901000000,9901000000,7905000000,879000000,3062000000,8020000000,None,None,None,521000000,None,186000000,None,2166000000,8022000000,1755000000,None,5200000000,None,8543000000,10709000000,6267000000
2016-09-30,USD,14084000000,21928000000,7844000000,7844000000,6715000000,1045000000,3106000000,7369000000,None,None,None,437000000,None,100000000,None,1816000000,6827000000,1160000000,None,4690000000,None,7264000000,9080000000,5667000000
2016-06-30,USD,12635000000,20614000000,7979000000,7979000000,3080000000,1301000000,3146000000,8445000000,None,None,None,345000000,None,267000000,None,1910000000,3347000000,225000000,None,3424000000,None,3692000000,5602000000,3122000000
2016-03-31,USD,12809000000,20531000000,7722000000,7722000000,5283000000,1140000000,2980000000,7526000000,None,None,None,340000000,None,-247000000,None,1707000000,5036000000,1280000000,None,3756000000,None,5376000000,7083000000,3756000000
2015-12-31,USD,13924000000,23796000000,9872000000,9872000000,6026000000,1038000000,2900000000,7898000000,None,None,None,309000000,None,-171000000,None,1544000000,5855000000,837000000,None,4998000000,None,6164000000,7708000000,5018000000
2015-09-30,USD,13172000000,20379000000,7207000000,7207000000,5793000000,1084000000,2962000000,7379000000,None,None,None,249000000,None,-280000000,None,1461000000,5513000000,611000000,None,4620000000,None,5762000000,7223000000,4902000000
2015-06-30,USD,14712000000,22180000000,7468000000,7468000000,-2053000000,1272000000,3094000000,8327000000,None,None,None,247000000,None,297000000,None,1493000000,-1756000000,1439000000,None,-3195000000,None,-1509000000,-16000000,-3195000000
2015-03-31,USD,14568000000,21729000000,7161000000,7161000000,6594000000,1091000000,2984000000,7784000000,None,None,None,211000000,None,-77000000,None,1515000000,6517000000,1532000000,None,4985000000,None,6728000000,8243000000,4985000000
2014-12-31,USD,16334000000,26470000000,10136000000,10136000000,7776000000,1097000000,2903000000,8558000000,None,None,None,162000000,None,74000000,None,1521000000,7850000000,1987000000,None,5863000000,None,8012000000,9533000000,5863000000
2014-09-30,USD,14928000000,23201000000,8273000000,8273000000,5844000000,1151000000,3065000000,7944000000,None,None,None,161000000,None,52000000,None,1428000000,5896000000,1356000000,None,4540000000,None,6057000000,7485000000,4540000000
2014-06-30,USD,15787000000,23382000000,7595000000,7595000000,6482000000,1373000000,3123000000,9305000000,None,None,None,169000000,None,95000000,None,1742000000,6577000000,1965000000,None,4612000000,None,6746000000,8488000000,4612000000
2014-03-31,USD,14425000000,20403000000,5978000000,5978000000,6974000000,1166000000,2743000000,7451000000,None,None,None,175000000,None,-17000000,None,1255000000,6957000000,1297000000,None,5660000000,None,7132000000,8387000000,5660000000
2013-12-31,USD,16197000000,24519000000,8322000000,8322000000,7969000000,1197000000,2748000000,8228000000,None,None,None,135000000,None,-91000000,None,1261000000,7878000000,1320000000,None,6558000000,None,8013000000,9274000000,6558000000
2013-09-30,USD,13384000000,18529000000,5145000000,5145000000,6334000000,979000000,2767000000,7050000000,None,None,None,118000000,None,74000000,None,954000000,6408000000,1164000000,None,5244000000,None,6526000000,7480000000,5244000000
2013-06-30,USD,14294000000,19896000000,5602000000,5602000000,6073000000,1210000000,2783000000,8221000000,None,None,None,120000000,None,72000000,None,983000000,6145000000,1180000000,None,4965000000,None,6265000000,7248000000,4965000000
2013-03-31,USD,15702000000,20489000000,4787000000,4787000000,7612000000,1656000000,2640000000,8090000000,None,None,None,109000000,None,-9000000,None,1053000000,7603000000,1548000000,None,6055000000,None,7712000000,8765000000,6055000000
2012-12-31,USD,15764000000,21456000000,5692000000,5692000000,7771000000,1156000000,2528000000,7993000000,None,None,None,105000000,None,-1000000,None,1009000000,7770000000,1393000000,None,6377000000,None,7875000000,8884000000,6377000000
2012-09-30,USD,11840000000,16008000000,4168000000,4168000000,5308000000,1127000000,2460000000,6532000000,None,None,None,95000000,None,226000000,None,710000000,5534000000,1068000000,None,4466000000,None,5629000000,6339000000,4466000000
2012-06-30,USD,13896000000,18059000000,4163000000,4163000000,192000000,1136000000,2594000000,7511000000,None,None,None,96000000,None,167000000,None,797000000,359000000,851000000,None,-492000000,None,1076000000,1873000000,-492000000
2012-03-31,USD,13455000000,17407000000,3952000000,3952000000,6374000000,1150000000,2517000000,7081000000,None,None,None,95000000,None,-11000000,None,766000000,6363000000,1255000000,None,5108000000,None,6458000000,7224000000,5108000000
2011-12-31,USD,15247000000,20885000000,5638000000,5638000000,7994000000,1120000000,2371000000,7253000000,None,None,None,95000000,None,245000000,None,678000000,8239000000,1615000000,None,6624000000,None,8334000000,9012000000,6624000000
2011-09-30,USD,13595000000,17372000000,3777000000,3777000000,7203000000,1163000000,2329000000,6392000000,None,None,None,94000000,None,103000000,None,726000000,7306000000,1568000000,None,5738000000,None,7400000000,8126000000,5738000000
2011-06-30,USD,13659000000,17367000000,3708000000,3708000000,6171000000,1179000000,2393000000,7488000000,None,None,None,94000000,None,148000000,None,689000000,6319000000,445000000,None,5874000000,None,6413000000,7102000000,5874000000
2011-03-31,USD,12531000000,16428000000,3897000000,3897000000,5709000000,1160000000,2269000000,6822000000,None,None,None,84000000,None,316000000,None,720000000,6025000000,793000000,None,5232000000,None,5709000000,6429000000,5232000000
2010-12-31,USD,15120000000,19953000000,4833000000,4833000000,8165000000,945000000,2185000000,6955000000,None,None,None,72000000,None,332000000,None,663000000,8497000000,1863000000,None,6634000000,None,8569000000,9232000000,6634000000
2010-09-30,USD,13056000000,16195000000,3139000000,3139000000,7116000000,938000000,2196000000,5940000000,None,None,None,45000000,None,114000000,None,694000000,7230000000,1820000000,None,5410000000,None,7275000000,7969000000,5410000000
