date,value,indicator,interval
2021-03-31,5145.087,REAL_GDP,quarterly
2021-06-30,5368.017,REAL_GDP,quarterly
2021-09-30,5418.754,REAL_GDP,quarterly
2021-12-31,5600.549,REAL_GDP,quarterly
2022-03-31,5354.373,REAL_GDP,quarterly
2022-06-30,5495.481,REAL_GDP,quarterly
2022-09-30,5556.056,REAL_GDP,quarterly
2022-12-31,5670.022,REAL_GDP,quarterly
2023-03-31,5488.947,REAL_GDP,quarterly
2023-06-30,5655.781,REAL_GDP,quarterly
2023-09-30,5731.929,REAL_GDP,quarterly
2023-12-31,5847.063,REAL_GDP,quarterly
2024-03-31,5647.3,REAL_GDP,quarterly
2024-06-30,5829.384,REAL_GDP,quarterly
2024-09-30,5884.567,REAL_GDP,quarterly
2024-12-31,5997.184,REAL_GDP,quarterly
2021-03-31,263.15766666666667,CPI,monthly
2021-06-30,269.315,CPI,monthly
2021-09-30,273.62666666666667,CPI,monthly
2021-12-31,277.7796666666666,CPI,monthly
2022-03-31,284.1226666666667,CPI,monthly
2022-06-30,292.57199999999995,CPI,monthly
2022-09-30,296.4183333333333,CPI,monthly
2022-12-31,297.50666666666666,CPI,monthly
2023-03-31,300.6153333333333,CPI,monthly
2023-06-30,304.19966666666664,CPI,monthly
2023-09-30,306.8353333333333,CPI,monthly
2023-12-31,307.156,CPI,monthly
2024-03-31,310.3583333333333,CPI,monthly
2024-06-30,313.9306666666667,CPI,monthly
2024-09-30,314.879,CPI,monthly
2024-12-31,315.58733333333333,CPI,monthly
2021-03-31,0.08,FEDERAL_FUNDS_RATE,monthly
2021-06-30,0.07,FEDERAL_FUNDS_RATE,monthly
2021-09-30,0.09,FEDERAL_FUNDS_RATE,monthly
2021-12-31,0.08,FEDERAL_FUNDS_RATE,monthly
2022-03-31,0.12,FEDERAL_FUNDS_RATE,monthly
2022-06-30,0.77,FEDERAL_FUNDS_RATE,monthly
2022-09-30,2.19,FEDERAL_FUNDS_RATE,monthly
2022-12-31,3.653333333333333,FEDERAL_FUNDS_RATE,monthly
2023-03-31,4.516666666666667,FEDERAL_FUNDS_RATE,monthly
2023-06-30,4.989999999999999,FEDERAL_FUNDS_RATE,monthly
2023-09-30,5.260000000000001,FEDERAL_FUNDS_RATE,monthly
2023-12-31,5.33,FEDERAL_FUNDS_RATE,monthly
2024-03-31,5.33,FEDERAL_FUNDS_RATE,monthly
2024-06-30,5.33,FEDERAL_FUNDS_RATE,monthly
2024-09-30,5.263333333333333,FEDERAL_FUNDS_RATE,monthly
2024-12-31,4.65,FEDERAL_FUNDS_RATE,monthly
2021-03-31,6.233333333333333,UNEMPLOYMENT,monthly
2021-06-30,5.933333333333334,UNEMPLOYMENT,monthly
2021-09-30,5.066666666666666,UNEMPLOYMENT,monthly
2021-12-31,4.166666666666667,UNEMPLOYMENT,monthly
2022-03-31,3.8666666666666663,UNEMPLOYMENT,monthly
2022-06-30,3.633333333333333,UNEMPLOYMENT,monthly
2022-09-30,3.533333333333333,UNEMPLOYMENT,monthly
2022-12-31,3.5666666666666664,UNEMPLOYMENT,monthly
2023-03-31,3.533333333333333,UNEMPLOYMENT,monthly
2023-06-30,3.533333333333333,UNEMPLOYMENT,monthly
2023-09-30,3.633333333333333,UNEMPLOYMENT,monthly
2023-12-31,3.8,UNEMPLOYMENT,monthly
2024-03-31,3.8333333333333335,UNEMPLOYMENT,monthly
2024-06-30,3.9666666666666655,UNEMPLOYMENT,monthly
2024-09-30,4.166666666666667,UNEMPLOYMENT,monthly
2024-12-31,4.133333333333333,UNEMPLOYMENT,monthly
