Date,Revenue,COGS,Operating_Expenses,EBITDA,Net_Income,Gross_Profit,Operating_Income,Company,EBITDA_Margin,Currency_Unit
2021-03-31,89584.0,51505.0,10576.0,31478.0,23630.0,38079.0,27503.0,AAPL,35.14,millions USD
2021-03-31,108518.0,62403.0,37152.04,16373.0,8107.0,46115.0,8865.0,AMZN,15.09,millions USD
2021-03-31,55314.0,24103.0,14774.0,24112.0,17930.0,31211.0,16437.0,GOOGL,43.59,millions USD
2021-03-31,26171.0,5131.0,9662.0,13350.0,9497.0,21040.0,11378.0,META,51.01,millions USD
2021-03-31,41706.0,13045.0,11613.0,20805.0,15457.0,28661.0,17048.0,MSFT,49.88,millions USD
2021-06-30,81434.0,46179.0,11129.0,27866.0,21744.0,35255.0,24126.0,AAPL,34.22,millions USD
2021-06-30,113080.0,64176.0,41097.89,15740.0,7778.0,48904.0,7702.0,AMZN,13.92,millions USD
2021-06-30,61880.0,26227.0,16292.0,25006.0,18525.0,35653.0,19361.0,GOOGL,40.41,millions USD
2021-06-30,29077.0,5399.0,11311.0,14352.0,10394.0,23678.0,12367.0,META,49.36,millions USD
2021-06-30,46152.0,13991.0,13066.0,23302.0,16458.0,32161.0,19095.0,MSFT,50.49,millions USD
2021-09-30,83360.0,48186.0,11388.0,26909.0,20551.0,35174.0,23786.0,AAPL,32.28,millions USD
2021-09-30,110812.0,62930.0,42923.87,13800.0,3156.0,47882.0,4852.0,AMZN,12.45,millions USD
2021-09-30,65118.0,27621.0,16466.0,26445.0,18936.0,37497.0,21031.0,GOOGL,40.61,millions USD
2021-09-30,29010.0,5771.0,12816.0,12418.0,9194.0,23239.0,10423.0,META,42.81,millions USD
2021-09-30,45317.0,13646.0,11433.0,24275.0,20505.0,31671.0,20238.0,MSFT,53.57,millions USD
2021-12-31,123945.0,69702.0,12755.0,44632.0,34630.0,54243.0,41488.0,AAPL,36.01,millions USD
2021-12-31,137412.0,82835.0,50983.05,13262.0,14323.0,54577.0,3460.0,AMZN,9.65,millions USD
2021-12-31,75325.0,32988.0,20452.0,27958.0,20642.0,42337.0,21885.0,GOOGL,37.12,millions USD
2021-12-31,33671.0,6348.0,14738.0,14599.0,10285.0,27323.0,12585.0,META,43.36,millions USD
2021-12-31,51728.0,16960.0,12521.0,26536.0,18765.0,34768.0,22247.0,MSFT,51.3,millions USD
2022-03-31,97278.0,54719.0,12580.0,33567.0,25010.0,42559.0,29979.0,AAPL,34.51,millions USD
2022-03-31,116444.0,66499.0,46154.65,12862.0,-3844.0,49945.0,3669.0,AMZN,11.05,millions USD
2022-03-31,68011.0,29599.0,18318.0,22799.0,16436.0,38412.0,20094.0,GOOGL,33.52,millions USD
2022-03-31,27908.0,6005.0,13379.0,10680.0,7465.0,21903.0,8524.0,META,38.27,millions USD
2022-03-31,49360.0,15615.0,13381.0,24466.0,16728.0,33745.0,20364.0,MSFT,49.57,millions USD
2022-06-30,82959.0,47074.0,12809.0,26590.0,19442.0,35885.0,23076.0,AAPL,32.05,millions USD
2022-06-30,121234.0,66424.0,51369.53,13033.0,-2028.0,54810.0,3317.0,AMZN,10.75,millions USD
2022-06-30,69685.0,30104.0,20128.0,22996.0,16002.0,39581.0,19453.0,GOOGL,33.0,millions USD
2022-06-30,28822.0,5192.0,15272.0,10337.0,6687.0,23630.0,8358.0,META,35.86,millions USD
2022-06-30,51865.0,16429.0,14902.0,24962.0,16740.0,35436.0,20534.0,MSFT,48.13,millions USD
2022-09-30,90146.0,52051.0,13201.0,28349.0,20721.0,38095.0,24894.0,AAPL,31.45,millions USD
2022-09-30,127101.0,70268.0,54184.18,12729.0,2872.0,56833.0,2525.0,AMZN,10.01,millions USD
