Date,Revenue,COGS,Operating_Expenses,EBITDA,Net_Income,Gross_Profit,Operating_Income,Company,EBITDA_Margin,GDP,CPI,Fed_Rate,Unemployment,Revenue_lag1,EBITDA_lag1,Net_Income_lag1,Operating_Income_lag1,Revenue_YoY,EBITDA_YoY,Target_Revenue,Target_EBITDA,Target_Net_Income
2021-03-31,89584.0,51505.0,10576.0,31478.0,23630.0,38079.0,27503.0,AAPL,35.14,5145.087,263.15766666666667,0.08,6.233333333333333,,,,,,,81434.0,27866.0,21744.0
2021-03-31,108518.0,62403.0,37152.04,16373.0,8107.0,46115.0,8865.0,AMZN,15.09,5145.087,263.15766666666667,0.08,6.233333333333333,,,,,,,113080.0,15740.0,7778.0
2021-03-31,55314.0,24103.0,14774.0,24112.0,17930.0,31211.0,16437.0,GOOGL,43.59,5145.087,263.15766666666667,0.08,6.233333333333333,,,,,,,61880.0,25006.0,18525.0
2021-03-31,26171.0,5131.0,9662.0,13350.0,9497.0,21040.0,11378.0,META,51.01,5145.087,263.15766666666667,0.08,6.233333333333333,,,,,,,29077.0,14352.0,10394.0
2021-03-31,41706.0,13045.0,11613.0,20805.0,15457.0,28661.0,17048.0,MSFT,49.88,5145.087,263.15766666666667,0.08,6.233333333333333,,,,,,,46152.0,23302.0,16458.0
2021-06-30,81434.0,46179.0,11129.0,27866.0,21744.0,35255.0,24126.0,AAPL,34.22,5368.017,269.315,0.07,5.933333333333334,89584.0,31478.0,23630.0,27503.0,,,83360.0,26909.0,20551.0
2021-06-30,113080.0,64176.0,41097.89,15740.0,7778.0,48904.0,7702.0,AMZN,13.92,5368.017,269.315,0.07,5.933333333333334,108518.0,16373.0,8107.0,8865.0,,,110812.0,13800.0,3156.0
2021-06-30,61880.0,26227.0,16292.0,25006.0,18525.0,35653.0,19361.0,GOOGL,40.41,5368.017,269.315,0.07,5.933333333333334,55314.0,24112.0,17930.0,16437.0,,,65118.0,26445.0,18936.0
2021-06-30,29077.0,5399.0,11311.0,14352.0,10394.0,23678.0,12367.0,META,49.36,5368.017,269.315,0.07,5.933333333333334,26171.0,13350.0,9497.0,11378.0,,,29010.0,12418.0,9194.0
2021-06-30,46152.0,13991.0,13066.0,23302.0,16458.0,32161.0,19095.0,MSFT,50.49,5368.017,269.315,0.07,5.933333333333334,41706.0,20805.0,15457.0,17048.0,,,45317.0,24275.0,20505.0
