Datum,Godina,Kvartal,BDP_rast_pct,Inflacija_pct,EUR_HRK
2021-01-01,2021,1,3.62,1.55,7.54
2021-04-01,2021,2,3.9,1.09,7.51
2021-07-01,2021,3,3.44,2.07,7.53
2021-10-01,2021,4,2.82,2.26,7.52
2022-01-01,2022,1,3.68,2.4,7.53
2022-04-01,2022,2,2.87,2.18,7.51
2022-07-01,2022,3,3.25,2.28,7.52
2022-10-01,2022,4,4.06,2.87,7.51
2023-01-01,2023,1,3.6,2.44,7.53
2023-04-01,2023,2,2.47,1.93,7.53
2023-07-01,2023,3,2.96,3.42,7.53
2023-10-01,2023,4,2.82,3.16,7.53
2024-01-01,2024,1,3.02,3.21,7.53
2024-04-01,2024,2,3.45,3.11,7.53
2024-07-01,2024,3,3.17,3.96,7.53
2024-10-01,2024,4,2.95,2.94,7.53
2025-01-01,2025,1,3.22,2.86,7.53
2025-04-01,2025,2,2.54,3.47,7.53
2025-07-01,2025,3,3.27,3.15,7.53
2025-10-01,2025,4,2.24,3.25,7.53
