Datum,Godina,Mjesec,Ukupni_prihod_EUR,Ukupni_trošak_EUR,EBITDA_EUR,EBITDA_marža_pct,Plan_prihod_EUR,Plan_trošak_EUR,Plan_EBITDA_EUR,Odstupanje_prihod_EUR,Odstupanje_prihod_pct,Odstupanje_EBITDA_EUR
2021-01-01,2021,1,1374343.77,879257.46,495086.31000000006,36.02,1460474.71,859193.57,601281.14,-86130.93999999994,-5.9,-106194.82999999996
2021-02-01,2021,2,1269621.99,872071.58,397550.41000000003,31.31,1349559.68,839206.31,510353.3699999999,-79937.68999999994,-5.92,-112802.95999999985
2021-03-01,2021,3,1263395.24,876287.63,387107.61,30.64,1358569.56,862130.56,496439.0,-95174.32000000007,-7.01,-109331.39000000001
2021-04-01,2021,4,1190849.16,875983.0599999999,314866.1,26.44,1267079.19,870390.62,396688.56999999995,-76230.03000000003,-6.02,-81822.46999999997
2021-05-01,2021,5,1166696.69,825977.67,340719.0199999999,29.2,1148949.53,790060.47,358889.06000000006,17747.159999999916,1.54,-18170.040000000154
2021-06-01,2021,6,1202786.91,850067.78,352719.1299999999,29.33,1253525.29,843386.86,410138.43000000005,-50738.38000000012,-4.05,-57419.30000000016
2021-07-01,2021,7,1196001.74,852467.29,343534.44999999995,28.72,1198397.96,864113.94,334284.02,-2396.219999999972,-0.2,9250.429999999935
2021-08-01,2021,8,1255828.4100000001,859942.09,395886.3200000002,31.52,1278895.03,827044.73,451850.30000000005,-23066.61999999988,-1.8,-55963.979999999865
2021-09-01,2021,9,1293894.3499999999,936062.96,357831.3899999999,27.66,1344191.79,891544.6,452647.19000000006,-50297.44000000018,-3.74,-94815.80000000016
2021-10-01,2021,10,1363787.1,911651.84,452135.2600000001,33.15,1444007.85,882423.39,561584.4600000001,-80220.75,-5.56,-109449.19999999995
2021-11-01,2021,11,1400653.87,891012.22,509641.65000000014,36.39,1410500.16,869581.2,540918.96,-9846.289999999804,-0.7,-31277.309999999823
2021-12-01,2021,12,1508363.14,980307.29,528055.8499999999,35.01,1454082.42,984371.22,469711.19999999995,54280.71999999997,3.73,58344.64999999991
2022-01-01,2022,1,1456855.71,999663.2799999999,457192.43000000005,31.38,1510884.99,897312.53,613572.46,-54029.28000000003,-3.58,-156380.0299999999
2022-02-01,2022,2,1400167.95,959641.07,440526.88,31.46,1390204.49,859666.99,530537.5,9963.459999999963,0.72,-90010.62
2022-03-01,2022,3,1249538.45,883695.95,365842.5,29.28,1356043.3,915504.36,440538.94000000006,-106504.8500000001,-7.85,-74696.44000000006
2022-04-01,2022,4,1342506.3900000001,905192.5599999999,437313.8300000002,32.57,1313902.82,889841.97,424060.8500000001,28603.570000000065,2.18,13252.980000000098
2022-05-01,2022,5,1213582.15,922602.25,290979.8999999999,23.98,1222552.16,848259.05,374293.10999999987,-8970.01000000001,-0.73,-83313.20999999996
2022-06-01,2022,6,1251719.51,880194.04,371525.47,29.68,1269447.54,874898.03,394549.51,-17728.030000000028,-1.4,-23024.040000000037
2022-07-01,2022,7,1276230.77,924856.1399999999,351374.6300000001,27.53,1289047.23,857418.05,431629.17999999993,-12816.459999999963,-0.99,-80254.54999999981
2022-08-01,2022,8,1229354.02,906715.62,322638.4,26.24,1373900.11,884920.13,488979.9800000001,-144546.09000000008,-10.52,-166341.58000000007
2022-09-01,2022,9,1485011.54,945134.77,539876.77,36.36,1422687.8,931656.31,491031.49,62323.73999999999,4.38,48845.28000000003
2022-10-01,2022,10,1562866.82,993289.47,569577.3500000001,36.44,1442322.62,950418.79,491903.8300000001,120544.19999999995,8.36,77673.52000000002
2022-11-01,2022,11,1598367.98,899392.7999999999,698975.18,43.73,1487421.54,916762.25,570659.29,110946.43999999994,7.46,128315.89000000001
2022-12-01,2022,12,1581285.8599999999,984417.3,596868.5599999998,37.75,1625931.26,1014966.63,610964.63,-44645.40000000014,-2.75,-14096.070000000182
2023-01-01,2023,1,1569407.9,978270.04,591137.8599999999,37.67,1567614.73,1045816.4,521798.32999999996,1793.1699999999255,0.11,69339.52999999991
2023-02-01,2023,2,1572358.96,967822.43,604536.5299999999,38.45,1525315.06,993980.67,531334.39,47043.89999999991,3.08,73202.1399999999
2023-03-01,2023,3,1465240.31,1021351.8500000001,443888.45999999996,30.29,1428316.77,893010.96,535305.81,36923.54000000004,2.59,-91417.3500000001
2023-04-01,2023,4,1431796.63,947889.25,483907.3799999999,33.8,1502866.89,886632.52,616234.3699999999,-71070.26000000001,-4.73,-132326.99
2023-05-01,2023,5,1375019.65,955538.1699999999,419481.48,30.51,1274394.05,929863.37,344530.68000000005,100625.59999999986,7.9,74950.79999999993
2023-06-01,2023,6,1431076.47,973285.37,457791.1,31.99,1336994.63,912547.42,424447.20999999985,94081.84000000008,7.04,33343.89000000013
2023-07-01,2023,7,1406056.5899999999,1000177.71,405878.8799999999,28.87,1400629.83,950369.81,450260.02,5426.7599999997765,0.39,-44381.14000000013
2023-08-01,2023,8,1582928.79,986093.16,596835.63,37.7,1338372.39,945920.51,392451.8799999999,244556.40000000014,18.27,204383.75000000012
2023-09-01,2023,9,1553917.58,1031881.01,522036.57000000007,33.59,1645899.81,950949.5,694950.31,-91982.22999999998,-5.59,-172913.74
2023-10-01,2023,10,1641980.27,1047551.75,594428.52,36.2,1694833.94,1024370.75,670463.19,-52853.669999999925,-3.12,-76034.66999999993
2023-11-01,2023,11,1773259.39,1063068.62,710190.7699999998,40.05,1760415.75,914889.08,845526.67,12843.639999999898,0.73,-135335.90000000026
2023-12-01,2023,12,1688503.15,1065613.99,622889.1599999999,36.89,1723431.64,1017181.4,706250.2399999999,-34928.48999999999,-2.03,-83361.07999999996
2024-01-01,2024,1,1837102.04,1088263.8399999999,748838.2000000002,40.76,1675363.28,1014110.03,661253.25,161738.76,9.65,87584.95000000019
2024-02-01,2024,2,1672764.88,1045689.3699999999,627075.51,37.49,1691146.91,985415.33,705731.58,-18382.030000000028,-1.09,-78656.06999999995
2024-03-01,2024,3,1570209.71,1036748.21,533461.5,33.97,1550992.65,1056750.55,494242.09999999986,19217.060000000056,1.24,39219.40000000014
2024-04-01,2024,4,1594892.95,1038700.41,556192.5399999999,34.87,1548939.54,967259.1,581680.4400000001,45953.409999999916,2.97,-25487.90000000014
2024-05-01,2024,5,1519199.93,1015099.44,504100.49,33.18,1471588.78,997866.7,473722.0800000001,47611.14999999991,3.24,30378.409999999916
2024-06-01,2024,6,1502113.9,1040286.37,461827.5299999999,30.75,1571988.84,991876.29,580112.55,-69874.94000000018,-4.45,-118285.02000000014
2024-07-01,2024,7,1571954.31,1082857.07,489097.24,31.11,1479724.65,1020677.23,459047.4199999999,92229.66000000015,6.23,30049.820000000065
2024-08-01,2024,8,1556348.71,1013299.81,543048.8999999999,34.89,1633808.03,1059593.32,574214.71,-77459.32000000007,-4.74,-31165.810000000056
2024-09-01,2024,9,1695947.54,1129591.07,566356.47,33.39,1617174.5,1055528.51,561645.99,78773.04000000004,4.87,4710.479999999981
2024-10-01,2024,10,1850290.22,1074043.1800000002,776247.0399999998,41.95,1792801.71,1051931.41,740870.3,57488.51000000001,3.21,35376.73999999976
2024-11-01,2024,11,1987261.1099999999,1139105.45,848155.6599999999,42.68,1916299.51,1074743.78,841555.73,70961.59999999986,3.7,6599.929999999935
2024-12-01,2024,12,2058911.4,1194019.42,864891.98,42.01,1841265.32,1061186.83,780078.49,217646.07999999984,11.82,84813.48999999999
2025-01-01,2025,1,1957014.2999999998,1165865.51,791148.7899999998,40.43,2020748.52,1133056.2,887692.3200000001,-63734.220000000205,-3.15,-96543.53000000026
2025-02-01,2025,2,1813156.95,1108936.57,704220.3799999999,38.84,1796239.28,1117527.72,678711.56,16917.669999999925,0.94,25508.819999999832
2025-03-01,2025,3,1737256.15,1112932.95,624323.2,35.94,1764340.46,1094001.36,670339.0999999999,-27084.310000000056,-1.54,-46015.89999999991
2025-04-01,2025,4,1703023.73,1080774.74,622248.99,36.54,1703460.13,1073409.38,630050.75,-436.39999999990687,-0.03,-7801.760000000009
2025-05-01,2025,5,1656173.72,1069815.66,586358.06,35.4,1602391.18,1059555.7,542835.48,53782.54000000004,3.36,43522.580000000075
2025-06-01,2025,6,1758786.06,1154429.5999999999,604356.4600000002,34.36,1574120.73,1095230.03,478890.69999999995,184665.33000000007,11.73,125465.76000000024
2025-07-01,2025,7,1770141.0,1143696.28,626444.72,35.39,1761595.41,1143638.34,617957.0699999998,8545.590000000084,0.49,8487.65000000014
2025-08-01,2025,8,1866209.76,1127110.33,739099.4299999999,39.6,1667076.54,1066313.0,600763.54,199133.21999999997,11.95,138335.8899999999
2025-09-01,2025,9,1846623.98,1189953.47,656670.51,35.56,1887487.05,1212264.17,675222.8800000001,-40863.070000000065,-2.16,-18552.37000000011
2025-10-01,2025,10,2022391.6300000001,1211286.3499999999,811105.2800000003,40.11,1962147.11,1129876.84,832270.27,60244.52000000002,3.07,-21164.989999999758
2025-11-01,2025,11,2149840.13,1286562.74,863277.3899999999,40.16,2141009.2,1205071.61,935937.5900000001,8830.929999999702,0.41,-72660.20000000019
2025-12-01,2025,12,2339238.47,1306295.43,1032943.0400000003,44.16,2240509.72,1187314.05,1053195.6700000002,98728.75,4.41,-20252.62999999989
