Datum,Godina,Mjesec,Plan_prihod_EUR,Plan_trošak_EUR
2021-01-01,2021,1,1460474.71,859193.57
2021-02-01,2021,2,1349559.68,839206.31
2021-03-01,2021,3,1358569.56,862130.56
2021-04-01,2021,4,1267079.19,870390.62
2021-05-01,2021,5,1148949.53,790060.47
2021-06-01,2021,6,1253525.29,843386.86
2021-07-01,2021,7,1198397.96,864113.94
2021-08-01,2021,8,1278895.03,827044.73
2021-09-01,2021,9,1344191.79,891544.6
2021-10-01,2021,10,1444007.85,882423.39
2021-11-01,2021,11,1410500.16,869581.2
2021-12-01,2021,12,1454082.42,984371.22
2022-01-01,2022,1,1510884.99,897312.53
2022-02-01,2022,2,1390204.49,859666.99
2022-03-01,2022,3,1356043.3,915504.36
2022-04-01,2022,4,1313902.82,889841.97
2022-05-01,2022,5,1222552.16,848259.05
2022-06-01,2022,6,1269447.54,874898.03
2022-07-01,2022,7,1289047.23,857418.05
2022-08-01,2022,8,1373900.11,884920.13
2022-09-01,2022,9,1422687.8,931656.31
2022-10-01,2022,10,1442322.62,950418.79
2022-11-01,2022,11,1487421.54,916762.25
2022-12-01,2022,12,1625931.26,1014966.63
2023-01-01,2023,1,1567614.73,1045816.4
2023-02-01,2023,2,1525315.06,993980.67
2023-03-01,2023,3,1428316.77,893010.96
2023-04-01,2023,4,1502866.89,886632.52
2023-05-01,2023,5,1274394.05,929863.37
2023-06-01,2023,6,1336994.63,912547.42
2023-07-01,2023,7,1400629.83,950369.81
2023-08-01,2023,8,1338372.39,945920.51
2023-09-01,2023,9,1645899.81,950949.5
2023-10-01,2023,10,1694833.94,1024370.75
2023-11-01,2023,11,1760415.75,914889.08
2023-12-01,2023,12,1723431.64,1017181.4
2024-01-01,2024,1,1675363.28,1014110.03
2024-02-01,2024,2,1691146.91,985415.33
2024-03-01,2024,3,1550992.65,1056750.55
2024-04-01,2024,4,1548939.54,967259.1
2024-05-01,2024,5,1471588.78,997866.7
2024-06-01,2024,6,1571988.84,991876.29
2024-07-01,2024,7,1479724.65,1020677.23
2024-08-01,2024,8,1633808.03,1059593.32
2024-09-01,2024,9,1617174.5,1055528.51
2024-10-01,2024,10,1792801.71,1051931.41
2024-11-01,2024,11,1916299.51,1074743.78
2024-12-01,2024,12,1841265.32,1061186.83
2025-01-01,2025,1,2020748.52,1133056.2
2025-02-01,2025,2,1796239.28,1117527.72
2025-03-01,2025,3,1764340.46,1094001.36
2025-04-01,2025,4,1703460.13,1073409.38
2025-05-01,2025,5,1602391.18,1059555.7
2025-06-01,2025,6,1574120.73,1095230.03
2025-07-01,2025,7,1761595.41,1143638.34
2025-08-01,2025,8,1667076.54,1066313.0
2025-09-01,2025,9,1887487.05,1212264.17
2025-10-01,2025,10,1962147.11,1129876.84
2025-11-01,2025,11,2141009.2,1205071.61
2025-12-01,2025,12,2240509.72,1187314.05
