Datum,Godina,Mjesec,Segment,Prihod_EUR
2021-01-01,2021,1,Konzalting,511570.4
2021-02-01,2021,2,Konzalting,476086.45
2021-03-01,2021,3,Konzalting,473522.6
2021-04-01,2021,4,Konzalting,470622.85
2021-05-01,2021,5,Konzalting,407900.57
2021-06-01,2021,6,Konzalting,403159.99
2021-07-01,2021,7,Konzalting,458760.22
2021-08-01,2021,8,Konzalting,462794.7
2021-09-01,2021,9,Konzalting,460347.73
2021-10-01,2021,10,Konzalting,521793.66
2021-11-01,2021,11,Konzalting,514941.39
2021-12-01,2021,12,Konzalting,525727.09
2022-01-01,2022,1,Konzalting,544295.46
2022-02-01,2022,2,Konzalting,458955.33
2022-03-01,2022,3,Konzalting,441326.06
2022-04-01,2022,4,Konzalting,450002.89
2022-05-01,2022,5,Konzalting,419657.36
2022-06-01,2022,6,Konzalting,449943.33
2022-07-01,2022,7,Konzalting,427920.91
2022-08-01,2022,8,Konzalting,437327.35
2022-09-01,2022,9,Konzalting,556574.48
2022-10-01,2022,10,Konzalting,538377.05
2022-11-01,2022,11,Konzalting,574360.11
2022-12-01,2022,12,Konzalting,534175.07
2023-01-01,2023,1,Konzalting,560501.32
2023-02-01,2023,2,Konzalting,563679.2
2023-03-01,2023,3,Konzalting,494939.96
2023-04-01,2023,4,Konzalting,514309.94
2023-05-01,2023,5,Konzalting,465164.27
2023-06-01,2023,6,Konzalting,468598.72
2023-07-01,2023,7,Konzalting,471137.97
2023-08-01,2023,8,Konzalting,573393.23
2023-09-01,2023,9,Konzalting,552065.59
2023-10-01,2023,10,Konzalting,552025.08
2023-11-01,2023,11,Konzalting,648296.14
2023-12-01,2023,12,Konzalting,584626.9
2024-01-01,2024,1,Konzalting,633623.48
2024-02-01,2024,2,Konzalting,533642.24
2024-03-01,2024,3,Konzalting,528430.65
2024-04-01,2024,4,Konzalting,549625.99
2024-05-01,2024,5,Konzalting,544250.63
2024-06-01,2024,6,Konzalting,520398.07
2024-07-01,2024,7,Konzalting,524224.04
2024-08-01,2024,8,Konzalting,547256.62
2024-09-01,2024,9,Konzalting,543778.78
2024-10-01,2024,10,Konzalting,609091.97
2024-11-01,2024,11,Konzalting,648789.1
2024-12-01,2024,12,Konzalting,724516.14
2025-01-01,2025,1,Konzalting,689777.74
2025-02-01,2025,2,Konzalting,584039.1
2025-03-01,2025,3,Konzalting,632181.78
2025-04-01,2025,4,Konzalting,573111.66
2025-05-01,2025,5,Konzalting,539991.44
2025-06-01,2025,6,Konzalting,576726.77
2025-07-01,2025,7,Konzalting,605385.44
2025-08-01,2025,8,Konzalting,635544.3
2025-09-01,2025,9,Konzalting,612001.12
2025-10-01,2025,10,Konzalting,674758.22
2025-11-01,2025,11,Konzalting,734931.32
2025-12-01,2025,12,Konzalting,778875.93
2021-01-01,2021,1,Licenciranje,283725.65
2021-02-01,2021,2,Licenciranje,287127.68
2021-03-01,2021,3,Licenciranje,267574.33
2021-04-01,2021,4,Licenciranje,262416.77
2021-05-01,2021,5,Licenciranje,294332.66
2021-06-01,2021,6,Licenciranje,304893.73
2021-07-01,2021,7,Licenciranje,286023.47
2021-08-01,2021,8,Licenciranje,314023.7
2021-09-01,2021,9,Licenciranje,314011.73
2021-10-01,2021,10,Licenciranje,306380.4
2021-11-01,2021,11,Licenciranje,335324.88
2021-12-01,2021,12,Licenciranje,365024.38
2022-01-01,2022,1,Licenciranje,335220.88
2022-02-01,2022,2,Licenciranje,365264.13
2022-03-01,2022,3,Licenciranje,277782.31
2022-04-01,2022,4,Licenciranje,341146.15
2022-05-01,2022,5,Licenciranje,324433.75
2022-06-01,2022,6,Licenciranje,318425.67
2022-07-01,2022,7,Licenciranje,332173.13
2022-08-01,2022,8,Licenciranje,299997.87
2022-09-01,2022,9,Licenciranje,348785.89
2022-10-01,2022,10,Licenciranje,374378.02
2022-11-01,2022,11,Licenciranje,410908.24
2022-12-01,2022,12,Licenciranje,372362.13
2023-01-01,2023,1,Licenciranje,367593.52
2023-02-01,2023,2,Licenciranje,372443.38
2023-03-01,2023,3,Licenciranje,399844.61
2023-04-01,2023,4,Licenciranje,381255.29
2023-05-01,2023,5,Licenciranje,359362.75
2023-06-01,2023,6,Licenciranje,384362.34
2023-07-01,2023,7,Licenciranje,382120.3
2023-08-01,2023,8,Licenciranje,414476.38
2023-09-01,2023,9,Licenciranje,389339.62
2023-10-01,2023,10,Licenciranje,413216.64
2023-11-01,2023,11,Licenciranje,423843.42
2023-12-01,2023,12,Licenciranje,403150.85
2024-01-01,2024,1,Licenciranje,452178.33
2024-02-01,2024,2,Licenciranje,448521.57
2024-03-01,2024,3,Licenciranje,436014.65
2024-04-01,2024,4,Licenciranje,423910.73
2024-05-01,2024,5,Licenciranje,390586.62
2024-06-01,2024,6,Licenciranje,417988.37
2024-07-01,2024,7,Licenciranje,427909.8
2024-08-01,2024,8,Licenciranje,428783.29
2024-09-01,2024,9,Licenciranje,462906.82
2024-10-01,2024,10,Licenciranje,496480.08
2024-11-01,2024,11,Licenciranje,555654.41
2024-12-01,2024,12,Licenciranje,513577.48
2025-01-01,2025,1,Licenciranje,518822.7
2025-02-01,2025,2,Licenciranje,505576.85
2025-03-01,2025,3,Licenciranje,443554.51
2025-04-01,2025,4,Licenciranje,493670.33
2025-05-01,2025,5,Licenciranje,492633.38
2025-06-01,2025,6,Licenciranje,566014.97
2025-07-01,2025,7,Licenciranje,496628.78
2025-08-01,2025,8,Licenciranje,527410.13
2025-09-01,2025,9,Licenciranje,536425.2
2025-10-01,2025,10,Licenciranje,518350.15
2025-11-01,2025,11,Licenciranje,613399.45
2025-12-01,2025,12,Licenciranje,610861.66
