Datum,Godina,Mjesec,Kategorija_troška,Trošak_EUR
2021-01-01,2021,1,Plaće i naknade,501031.28
2021-02-01,2021,2,Plaće i naknade,506476.7
2021-03-01,2021,3,Plaće i naknade,520350.57
2021-04-01,2021,4,Plaće i naknade,522137.49
2021-05-01,2021,5,Plaće i naknade,479918.68
2021-06-01,2021,6,Plaće i naknade,502798.8
2021-07-01,2021,7,Plaće i naknade,501129.39
2021-08-01,2021,8,Plaće i naknade,505165.31
2021-09-01,2021,9,Plaće i naknade,561476.44
2021-10-01,2021,10,Plaće i naknade,541993.5
2021-11-01,2021,11,Plaće i naknade,511789.26
2021-12-01,2021,12,Plaće i naknade,571939.99
2022-01-01,2022,1,Plaće i naknade,595044.45
2022-02-01,2022,2,Plaće i naknade,567276.0
2022-03-01,2022,3,Plaće i naknade,499371.66
2022-04-01,2022,4,Plaće i naknade,532444.45
2022-05-01,2022,5,Plaće i naknade,559021.08
2022-06-01,2022,6,Plaće i naknade,522645.7
2022-07-01,2022,7,Plaće i naknade,551958.94
2022-08-01,2022,8,Plaće i naknade,556383.62
2022-09-01,2022,9,Plaće i naknade,546223.9
2022-10-01,2022,10,Plaće i naknade,575705.99
2022-11-01,2022,11,Plaće i naknade,507133.72
2022-12-01,2022,12,Plaće i naknade,559138.48
2023-01-01,2023,1,Plaće i naknade,578009.72
2023-02-01,2023,2,Plaće i naknade,557020.06
2023-03-01,2023,3,Plaće i naknade,615377.79
2023-04-01,2023,4,Plaće i naknade,543438.85
2023-05-01,2023,5,Plaće i naknade,562760.94
2023-06-01,2023,6,Plaće i naknade,583604.9
2023-07-01,2023,7,Plaće i naknade,613644.97
2023-08-01,2023,8,Plaće i naknade,565561.05
2023-09-01,2023,9,Plaće i naknade,627154.15
2023-10-01,2023,10,Plaće i naknade,610488.76
2023-11-01,2023,11,Plaće i naknade,600979.17
2023-12-01,2023,12,Plaće i naknade,630690.27
2024-01-01,2024,1,Plaće i naknade,641362.72
2024-02-01,2024,2,Plaće i naknade,607130.58
2024-03-01,2024,3,Plaće i naknade,615738.15
2024-04-01,2024,4,Plaće i naknade,609180.56
2024-05-01,2024,5,Plaće i naknade,616167.75
2024-06-01,2024,6,Plaće i naknade,630179.97
2024-07-01,2024,7,Plaće i naknade,662695.09
2024-08-01,2024,8,Plaće i naknade,592979.49
2024-09-01,2024,9,Plaće i naknade,694722.77
2024-10-01,2024,10,Plaće i naknade,606466.56
2024-11-01,2024,11,Plaće i naknade,669739.81
2024-12-01,2024,12,Plaće i naknade,699388.62
2025-01-01,2025,1,Plaće i naknade,683034.43
2025-02-01,2025,2,Plaće i naknade,646868.35
2025-03-01,2025,3,Plaće i naknade,652669.54
2025-04-01,2025,4,Plaće i naknade,644125.56
2025-05-01,2025,5,Plaće i naknade,639331.82
2025-06-01,2025,6,Plaće i naknade,690091.21
